flyer_item,sku,offer,discount,offer_price,regular_price,instalment_mth,platform,category,url,report_time,,platform,flyer items,offer items,discount items,items by instl./mth,offer items %,discount items %,avg. discount %,avg. instl./mth %,,flyer - category,flyer items,offer items,discount items,items by instl./mth,portfolio %,offer items %,discount items %,avg. discount %,avg. instl./mth %,,flyer - category,Leon's items,Tepperman's items,The Brick items,Walmart items,,flyer - category,Leon's discount %,Tepperman's discount %,The Brick discount %,Walmart discount %
"MAVIS COLLECTION, , Outlet PRICE $698 . Select for details.",MAVIS COLLECTION,,,698,,,Tepperman's,,https://www.teppermans.com/flyers,"2024-07-19, 12:15 PM",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"MIRAVEL COLLECTION, , Outlet PRICE $598 $14 A MONTH** . Select for details.",MIRAVEL COLLECTION,,,598,,14,Tepperman's,,https://www.teppermans.com/flyers,"2024-07-19, 12:15 PM",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"SCRANTO COLLECTION, , Outlet PRICE $898 $19 A MONTH** . Select for details.",SCRANTO COLLECTION,,,898,,19,Tepperman's,,https://www.teppermans.com/flyers,"2024-07-19, 12:15 PM",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"LISA TIGHT TOP QUEEN MATTRESS, , $498 . Select for details.",LISA TIGHT TOP QUEEN MATTRESS,,,498,,,Tepperman's,Bedroom & Mattress,https://www.teppermans.com/flyers,"2024-07-19, 12:15 PM",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"FRIGIDAIRE FROZEN YOGURT AND ICE CREAM MAKER, , $98 . Select for details.",FRIGIDAIRE FROZEN YOGURT AND ICE CREAM MAKER,,,98,,,Tepperman's,Refrigeration,https://www.teppermans.com/flyers,"2024-07-19, 12:15 PM",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Hamilton Beach 18 CU. FT. FRENCH DOOR FRIDGE, SPECIAL BUY, $977 . Select for details.",Hamilton Beach 18 CU. FT. FRENCH DOOR FRIDGE,SPECIAL BUY,,977,,,Tepperman's,Refrigeration,https://www.teppermans.com/flyers,"2024-07-19, 12:15 PM",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"SIENNA SOFA, , $398 . Select for details.",SIENNA SOFA,,,398,,,Tepperman's,Sofa Sets,https://www.teppermans.com/flyers,"2024-07-19, 12:15 PM",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"DIEGO QUEEN, FULL, OR TWIN 3-PIECE BED, , $198 . Select for details.",DIEGO QUEEN,"FULL, OR TWIN 3-PIECE BED, ",,198,,,Tepperman's,Bedroom & Mattress,https://www.teppermans.com/flyers,"2024-07-19, 12:15 PM",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"SIGN UP AND SAVE, ,  . Select for details.",SIGN UP AND SAVE,,,,,,Tepperman's,,https://www.teppermans.com/flyers,"2024-07-19, 12:15 PM",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Samsung 240W Sound Tower Party Speaker IPX5, , $498 . Select for details.",Samsung 240W Sound Tower Party Speaker IPX5,,,498,,,Tepperman's,,https://www.teppermans.com/flyers,"2024-07-19, 12:15 PM",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Samsung 3.1.2 Ch Dolby Atmos Dts:X Sound Bar Wireless Sub, , $498 . Select for details.",Samsung 3.1.2 Ch Dolby Atmos Dts:X Sound Bar Wireless Sub,,,498,,,Tepperman's,,https://www.teppermans.com/flyers,"2024-07-19, 12:15 PM",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"LG 5.1 Channel Sound Bar/ Sub/ Rear Speakers Dobly Audio, , $498 . Select for details.",LG 5.1 Channel Sound Bar/ Sub/ Rear Speakers Dobly Audio,,,498,,,Tepperman's,,https://www.teppermans.com/flyers,"2024-07-19, 12:15 PM",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Yamaha Compact Sound Bar with Wireless Subwoofer, HOT PRICE, $248 . Select for details.",Yamaha Compact Sound Bar with Wireless Subwoofer,HOT PRICE,,248,,,Tepperman's,,https://www.teppermans.com/flyers,"2024-07-19, 12:15 PM",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"LG 55"" 4K UHD B4 OLED EVO A8 Processor Smart TV, , $1798 $34 /MO** . Select for details.","LG 55"" 4K UHD B4 OLED EVO A8 Processor Smart TV",,,1798,,34,Tepperman's,TV & Lighting,https://www.teppermans.com/flyers,"2024-07-19, 12:15 PM",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"The Frame 4K QLED 120HZ Smart TV, , $1698 $32/MO** . Select for details.",The Frame 4K QLED 120HZ Smart TV,,,1698,,32,Tepperman's,TV & Lighting,https://www.teppermans.com/flyers,"2024-07-19, 12:15 PM",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"SAMSUNG 4K QLED HDR 120 HZ Full Array Smart TV, , $1298 $25 /MO** . Select for details.",SAMSUNG 4K QLED HDR 120 HZ Full Array Smart TV,,,1298,,25,Tepperman's,TV & Lighting,https://www.teppermans.com/flyers,"2024-07-19, 12:15 PM",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"LG 55"" 4K UHD QNED Quantumdot Nanocell 120HZ Smart TV, , $1198 $24 /MO** . Select for details.","LG 55"" 4K UHD QNED Quantumdot Nanocell 120HZ Smart TV",,,1198,,24,Tepperman's,TV & Lighting,https://www.teppermans.com/flyers,"2024-07-19, 12:15 PM",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Sony 55"" BRAVIA 3 4K UHD HDR LED Smart Google TV, , $898 $19 /MO** . Select for details.","Sony 55"" BRAVIA 3 4K UHD HDR LED Smart Google TV",,,898,,19,Tepperman's,TV & Lighting,https://www.teppermans.com/flyers,"2024-07-19, 12:15 PM",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"LG 65"" 4K UHD SMART LED Webos24 Intelligent Processor, , $847.99 . Select for details.","LG 65"" 4K UHD SMART LED Webos24 Intelligent Processor",,,847.99,,,Tepperman's,,https://www.teppermans.com/flyers,"2024-07-19, 12:15 PM",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"HISENSE 55"" 4K QLED Mini-LED Quantum DOT Smart Google TV, , $617.99 $15/MO** . Select for details.","HISENSE 55"" 4K QLED Mini-LED Quantum DOT Smart Google TV",,,617.99,,15,Tepperman's,TV & Lighting,https://www.teppermans.com/flyers,"2024-07-19, 12:15 PM",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Hisense 55"" 4K AI Upscaler UHD Smart Google Gaming TV, , $427.99 $11 /MO** . Select for details.","Hisense 55"" 4K AI Upscaler UHD Smart Google Gaming TV",,,427.99,,11,Tepperman's,TV & Lighting,https://www.teppermans.com/flyers,"2024-07-19, 12:15 PM",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"LG S70TR WITH ANY LG TV, SAVE $400 WHEN YOU BUNDLE THIS SOUND BAR, BUNDLE PRICE $399.99 . Select for details.",LG S70TR WITH ANY LG TV,SAVE $400 WHEN YOU BUNDLE THIS SOUND BAR,400,399.99,799.99,,Tepperman's,TV & Lighting,https://www.teppermans.com/flyers,"2024-07-19, 12:15 PM",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"4K Crystal UHD LED HDR Smart TV, , $648 $15/MO** . Select for details.",4K Crystal UHD LED HDR Smart TV,,,648,,15,Tepperman's,TV & Lighting,https://www.teppermans.com/flyers,"2024-07-19, 12:15 PM",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"FRIGIDAIRE 20 Cu.Ft. Upright Freezer, , ONLY $1199 $24 /MO** . Select for details.",FRIGIDAIRE 20 Cu.Ft. Upright Freezer,,,1199,,24,Tepperman's,Refrigeration,https://www.teppermans.com/flyers,"2024-07-19, 12:15 PM",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Frigidaire 16 Cu.Ft. Frost Free Upright Freezer, , ONLY $949 $20 /MO** . Select for details.",Frigidaire 16 Cu.Ft. Frost Free Upright Freezer,,,949,,20,Tepperman's,Refrigeration,https://www.teppermans.com/flyers,"2024-07-19, 12:15 PM",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"MAYTAG 7.3 Cu.Ft. Volcano Black Electric Dryer, , $1098 . Select for details.",MAYTAG 7.3 Cu.Ft. Volcano Black Electric Dryer,,,1098,,,Tepperman's,Cleaning & Drying,https://www.teppermans.com/flyers,"2024-07-19, 12:15 PM",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"MAYTAG 5.2 Cu. Ft. Volcano Black Front Load Washer, , $1198 . Select for details.",MAYTAG 5.2 Cu. Ft. Volcano Black Front Load Washer,,,1198,,,Tepperman's,Cleaning & Drying,https://www.teppermans.com/flyers,"2024-07-19, 12:15 PM",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Black Stainless 7.5 Cu.Ft. Electric Dryer, , $898 . Select for details.",Black Stainless 7.5 Cu.Ft. Electric Dryer,,,898,,,Tepperman's,Cleaning & Drying,https://www.teppermans.com/flyers,"2024-07-19, 12:15 PM",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"SAMSUNG Black Stainless 5.2 Cu.Ft. Front Load Washer, , $998 . Select for details.",SAMSUNG Black Stainless 5.2 Cu.Ft. Front Load Washer,,,998,,,Tepperman's,Cleaning & Drying,https://www.teppermans.com/flyers,"2024-07-19, 12:15 PM",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Marathon 7.0 Cu. Ft. Chest Freezer, , ONLY $555 $13 /MO** . Select for details.",Marathon 7.0 Cu. Ft. Chest Freezer,,,555,,13,Tepperman's,Refrigeration,https://www.teppermans.com/flyers,"2024-07-19, 12:15 PM",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"MARATHON 5.1 Cu.Ft. Chest Freezer, , ONLY $333 $9/MO** . Select for details.",MARATHON 5.1 Cu.Ft. Chest Freezer,,,333,,9,Tepperman's,Refrigeration,https://www.teppermans.com/flyers,"2024-07-19, 12:15 PM",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"MAYTAG 7.4 Cu.Ft. Electric Dryer, , ONLY $998 $39/MO** . Select for details.",MAYTAG 7.4 Cu.Ft. Electric Dryer,,,998,,39,Tepperman's,Cleaning & Drying,https://www.teppermans.com/flyers,"2024-07-19, 12:15 PM",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"MAYTAG 5.2 Cu.Ft. Top Load Washer, , $1098 . Select for details.",MAYTAG 5.2 Cu.Ft. Top Load Washer,,,1098,,,Tepperman's,Cleaning & Drying,https://www.teppermans.com/flyers,"2024-07-19, 12:15 PM",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"GE Profile™ 7.4 Cu.Ft. Electric Dryer, , $999 . Select for details.",GE Profile™ 7.4 Cu.Ft. Electric Dryer,,,999,,,Tepperman's,Cleaning & Drying,https://www.teppermans.com/flyers,"2024-07-19, 12:15 PM",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"GE Profile™ 5.0 Cu.Ft. Top Load Washer, , $999 . Select for details.",GE Profile™ 5.0 Cu.Ft. Top Load Washer,,,999,,,Tepperman's,Cleaning & Drying,https://www.teppermans.com/flyers,"2024-07-19, 12:15 PM",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Samsung 46dB Fully Integrated Top Control Dishwasher, , ONLY $799 $17/MO** . Select for details.",Samsung 46dB Fully Integrated Top Control Dishwasher,,,799,,17,Tepperman's,Cleaning & Drying,https://www.teppermans.com/flyers,"2024-07-19, 12:15 PM",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Samsung 6.3 Cu.Ft. Induction Slide In Convection Range, , $1899 $35 /MO** . Select for details.",Samsung 6.3 Cu.Ft. Induction Slide In Convection Range,,,1899,,35,Tepperman's,"BBQ, Cooking & Dining",https://www.teppermans.com/flyers,"2024-07-19, 12:15 PM",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Frigidaire 31 Cu. Ft. French Door Fridge, , ONLY $2999 $54 /MO** . Select for details.",Frigidaire 31 Cu. Ft. French Door Fridge,,,2999,,54,Tepperman's,Refrigeration,https://www.teppermans.com/flyers,"2024-07-19, 12:15 PM",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Frigidaire Fully Integrated Built-in Dishwasher, , ONLY $749 $16 /MO** . Select for details.",Frigidaire Fully Integrated Built-in Dishwasher,,,749,,16,Tepperman's,Cleaning & Drying,https://www.teppermans.com/flyers,"2024-07-19, 12:15 PM",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"FRIGIDAIRE 30"" Electric Range, , ONLY $949 . Select for details.","FRIGIDAIRE 30"" Electric Range",,,949,,,Tepperman's,,https://www.teppermans.com/flyers,"2024-07-19, 12:15 PM",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Frigidaire 20 Cu.Ft. Top Freezer Fridge, , ONLY $1099 $22 /MO** . Select for details.",Frigidaire 20 Cu.Ft. Top Freezer Fridge,,,1099,,22,Tepperman's,Refrigeration,https://www.teppermans.com/flyers,"2024-07-19, 12:15 PM",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"GE 7.8 Cu.Ft. Electric Dryer, , $1149 . Select for details.",GE 7.8 Cu.Ft. Electric Dryer,,,1149,,,Tepperman's,Cleaning & Drying,https://www.teppermans.com/flyers,"2024-07-19, 12:15 PM",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"GE 5.5 Cu.Ft. Front Load Washer, , $1149 . Select for details.",GE 5.5 Cu.Ft. Front Load Washer,,,1149,,,Tepperman's,Cleaning & Drying,https://www.teppermans.com/flyers,"2024-07-19, 12:15 PM",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"8.0 Cu.Ft. Electric Dryer, , $949 . Select for details.",8.0 Cu.Ft. Electric Dryer,,,949,,,Tepperman's,Cleaning & Drying,https://www.teppermans.com/flyers,"2024-07-19, 12:15 PM",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Electrolux 5.1 Cu.Ft. Front Load Washer, , $1049 . Select for details.",Electrolux 5.1 Cu.Ft. Front Load Washer,,,1049,,,Tepperman's,Cleaning & Drying,https://www.teppermans.com/flyers,"2024-07-19, 12:15 PM",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"7.0 Cu.Ft. Electric Dryer, , $798 . Select for details.",7.0 Cu.Ft. Electric Dryer,,,798,,,Tepperman's,Cleaning & Drying,https://www.teppermans.com/flyers,"2024-07-19, 12:15 PM",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Maytag® 5.2 Cu.Ft. Top Load Washer, , $898 . Select for details.",Maytag® 5.2 Cu.Ft. Top Load Washer,,,898,,,Tepperman's,Cleaning & Drying,https://www.teppermans.com/flyers,"2024-07-19, 12:15 PM",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Whirlpool 7.0 Cu.Ft. Electric Dryer, , $698 . Select for details.",Whirlpool 7.0 Cu.Ft. Electric Dryer,,,698,,,Tepperman's,Cleaning & Drying,https://www.teppermans.com/flyers,"2024-07-19, 12:15 PM",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"4,4 Cu. Ft. 2 In 1 Top Load Washer, , $798 . Select for details.","4,4 Cu. Ft. 2 In 1 Top Load Washer",,,798,,,Tepperman's,Cleaning & Drying,https://www.teppermans.com/flyers,"2024-07-19, 12:15 PM",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Frigidaire Fully Integrated Built in Dishwasher, , ONLY $899 $19 /MO** . Select for details.",Frigidaire Fully Integrated Built in Dishwasher,,,899,,19,Tepperman's,Cleaning & Drying,https://www.teppermans.com/flyers,"2024-07-19, 12:15 PM",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Whirlpool Large Capacity Dishwasher, , ONLY $849 $18/MO** . Select for details.",Whirlpool Large Capacity Dishwasher,,,849,,18,Tepperman's,Cleaning & Drying,https://www.teppermans.com/flyers,"2024-07-19, 12:15 PM",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Samsung 46dB Fully Integrated Top Control Dishwasher, , ONLY $799 $17 /MO** . Select for details.",Samsung 46dB Fully Integrated Top Control Dishwasher,,,799,,17,Tepperman's,Cleaning & Drying,https://www.teppermans.com/flyers,"2024-07-19, 12:15 PM",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Whirlpool Built In Dishwasher, , ONLY $599 . Select for details.",Whirlpool Built In Dishwasher,,,599,,,Tepperman's,Cleaning & Drying,https://www.teppermans.com/flyers,"2024-07-19, 12:15 PM",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"SAMSUNG 6.3 Cu.Ft. Introduction Slide In Convection Range, , ONLY $1899.00 $35/MO** . Select for details.",SAMSUNG 6.3 Cu.Ft. Introduction Slide In Convection Range,,,1899,,35,Tepperman's,"BBQ, Cooking & Dining",https://www.teppermans.com/flyers,"2024-07-19, 12:15 PM",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"MAYTAG 6.4 Cu.Ft. True Convection Electric Range, , ONLY $1399 $27/MO** . Select for details.",MAYTAG 6.4 Cu.Ft. True Convection Electric Range,,,1399,,27,Tepperman's,"BBQ, Cooking & Dining",https://www.teppermans.com/flyers,"2024-07-19, 12:15 PM",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Frigidaire 5.3 Cu.Ft. Front Control Electric Range, , ONLY $1299 $25 /MO** . Select for details.",Frigidaire 5.3 Cu.Ft. Front Control Electric Range,,,1299,,25,Tepperman's,,https://www.teppermans.com/flyers,"2024-07-19, 12:15 PM",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"30"" Electric Range, , ONLY $899 . Select for details.","30"" Electric Range",,,899,,,Tepperman's,,https://www.teppermans.com/flyers,"2024-07-19, 12:15 PM",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Frigidaire 28 Cu.Ft. French Door Fridge, , ONLY $2799 $50 /MO** . Select for details.",Frigidaire 28 Cu.Ft. French Door Fridge,,,2799,,50,Tepperman's,Refrigeration,https://www.teppermans.com/flyers,"2024-07-19, 12:15 PM",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"GE Profile French Door Fridge, , ONLY $1949 $36 /MO** . Select for details.",GE Profile French Door Fridge,,,1949,,36,Tepperman's,Refrigeration,https://www.teppermans.com/flyers,"2024-07-19, 12:15 PM",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"MAYTAG 19 Cu. Ft. Bottom Freezer Fridge, , ONLY $1699.00 $32/MO* . Select for details.",MAYTAG 19 Cu. Ft. Bottom Freezer Fridge,,,1699,,32,Tepperman's,Refrigeration,https://www.teppermans.com/flyers,"2024-07-19, 12:15 PM",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"FRIGIDAIRE 18 Cu.Ft. Top Freeze Fridge, , ONLY $949 $20/MO** . Select for details.",FRIGIDAIRE 18 Cu.Ft. Top Freeze Fridge,,,949,,20,Tepperman's,Refrigeration,https://www.teppermans.com/flyers,"2024-07-19, 12:15 PM",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Built-in Dishwasher, , ONLY $799 $17 /MO** . Select for details.",Built-in Dishwasher,,,799,,17,Tepperman's,Cleaning & Drying,https://www.teppermans.com/flyers,"2024-07-19, 12:15 PM",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Maytag 5.3 Cu.Ft. Front Control Electric Range, , ONLY $1199 $23 /MO** . Select for details.",Maytag 5.3 Cu.Ft. Front Control Electric Range,,,1199,,23,Tepperman's,,https://www.teppermans.com/flyers,"2024-07-19, 12:15 PM",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"MAYTAG 20 Cu. Ft. French Door Fridge, , ONLY $1799 . Select for details.",MAYTAG 20 Cu. Ft. French Door Fridge,,,1799,,,Tepperman's,Refrigeration,https://www.teppermans.com/flyers,"2024-07-19, 12:15 PM",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Fully Integrated Built In Dishwasher, , ONLY $899 $19 /MO** . Select for details.",Fully Integrated Built In Dishwasher,,,899,,19,Tepperman's,Cleaning & Drying,https://www.teppermans.com/flyers,"2024-07-19, 12:15 PM",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Frigidaire Gallery 30"" Electric Range, , ONLY $1299 $25 /MO** . Select for details.","Frigidaire Gallery 30"" Electric Range",,,1299,,25,Tepperman's,,https://www.teppermans.com/flyers,"2024-07-19, 12:15 PM",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"FRIGIDAIRE 23 Cu.Ft. Side By Side Fridge, , ONLY $1899 $35/MO++ . Select for details.",FRIGIDAIRE 23 Cu.Ft. Side By Side Fridge,,,1899,,35,Tepperman's,Refrigeration,https://www.teppermans.com/flyers,"2024-07-19, 12:15 PM",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"GE Tall Tub Dishwasher, , ONLY $549 $13 /MO** . Select for details.",GE Tall Tub Dishwasher,,,549,,13,Tepperman's,Cleaning & Drying,https://www.teppermans.com/flyers,"2024-07-19, 12:15 PM",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"GE 5.0 Cu.Ft. True Convection Range, , ONLY $1249 $25/MO** . Select for details.",GE 5.0 Cu.Ft. True Convection Range,,,1249,,25,Tepperman's,"BBQ, Cooking & Dining",https://www.teppermans.com/flyers,"2024-07-19, 12:15 PM",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"GE 19 Cu.Ft. Bottom Mount Fresh Door Fridge, , ONLY $1699 $32/MO** . Select for details.",GE 19 Cu.Ft. Bottom Mount Fresh Door Fridge,,,1699,,32,Tepperman's,Refrigeration,https://www.teppermans.com/flyers,"2024-07-19, 12:15 PM",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Built-in Dishwasher, , ONLY $599 . Select for details.",Built-in Dishwasher,,,599,,,Tepperman's,Cleaning & Drying,https://www.teppermans.com/flyers,"2024-07-19, 12:15 PM",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"5.3 Cu.FT. Fan Convection Range, , ONLY $1198 $24/MO** . Select for details.",5.3 Cu.FT. Fan Convection Range,,,1198,,24,Tepperman's,"BBQ, Cooking & Dining",https://www.teppermans.com/flyers,"2024-07-19, 12:15 PM",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Whirlpool 20 Cu.Ft. French Door Fridge, , ONLY $1799 $34 /MO** . Select for details.",Whirlpool 20 Cu.Ft. French Door Fridge,,,1799,,34,Tepperman's,Refrigeration,https://www.teppermans.com/flyers,"2024-07-19, 12:15 PM",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"MAYTAG® 7.0 CU. FT. PET PRO TOP LOAD ELECTRIC DYER, , $999 . Select for details.",MAYTAG® 7.0 CU. FT. PET PRO TOP LOAD ELECTRIC DYER,,,999,,,Tepperman's,,https://www.teppermans.com/flyers,"2024-07-19, 12:15 PM",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"MAYTAG® 5.4 CU. FT. I.E.C. PET PRO TOP LOAD WASHER, , $1099 . Select for details.",MAYTAG® 5.4 CU. FT. I.E.C. PET PRO TOP LOAD WASHER,,,1099,,,Tepperman's,Cleaning & Drying,https://www.teppermans.com/flyers,"2024-07-19, 12:15 PM",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"ENERGY STAR 7.3 CU. FT. ELECTRIC STEAM DRYER, , $1199 . Select for details.",ENERGY STAR 7.3 CU. FT. ELECTRIC STEAM DRYER,,,1199,,,Tepperman's,Cleaning & Drying,https://www.teppermans.com/flyers,"2024-07-19, 12:15 PM",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"MAYTAG® 5.5 CU. FT. I.E.C. FRONT LOAD STEAM, , $1299 . Select for details.",MAYTAG® 5.5 CU. FT. I.E.C. FRONT LOAD STEAM,,,1299,,,Tepperman's,,https://www.teppermans.com/flyers,"2024-07-19, 12:15 PM",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"MAYTAG® 47 dBA DISHWASHER, , $949 . Select for details.",MAYTAG® 47 dBA DISHWASHER,,,949,,,Tepperman's,Cleaning & Drying,https://www.teppermans.com/flyers,"2024-07-19, 12:15 PM",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"MAYTAG® SMART ELECTRIC RANGE WITH INDOOR GRILL, 5.3 CU. FT., , $1699 . Select for details.",MAYTAG® SMART ELECTRIC RANGE WITH INDOOR GRILL,"5.3 CU. FT., ",,1699,,,Tepperman's,,https://www.teppermans.com/flyers,"2024-07-19, 12:15 PM",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"MAYTAG® FLUSH MOUNT MICROWAVE, 1.1 CU. FT, , $649 . Select for details.",MAYTAG® FLUSH MOUNT MICROWAVE,"1.1 CU. FT, ",,649,,,Tepperman's,"BBQ, Cooking & Dining",https://www.teppermans.com/flyers,"2024-07-19, 12:15 PM",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"MAYTAG® 36"" SIDE-BY-SIDE REFRIGERATOR, 25 CU. FT., , $2199 . Select for details.","MAYTAG® 36"" SIDE-BY-SIDE REFRIGERATOR","25 CU. FT., ",,2199,,,Tepperman's,Refrigeration,https://www.teppermans.com/flyers,"2024-07-19, 12:15 PM",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"MAYTAG® 36"" FRENCH DOOR REFRIGERATOR, 25 CU. FT., , $2499 . Select for details.","MAYTAG® 36"" FRENCH DOOR REFRIGERATOR","25 CU. FT., ",,2499,,,Tepperman's,Refrigeration,https://www.teppermans.com/flyers,"2024-07-19, 12:15 PM",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"KitchenAid® 44 dBA Dishwasher with FreeFlex™ Third Rack, , $1399 . Select for details.",KitchenAid® 44 dBA Dishwasher with FreeFlex™ Third Rack,,,1399,,,Tepperman's,Cleaning & Drying,https://www.teppermans.com/flyers,"2024-07-19, 12:15 PM",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"KitchenAid® 30"" 4-Element Induction Slide-In Convection Range, , $3299 . Select for details.","KitchenAid® 30"" 4-Element Induction Slide-In Convection Range",,,3299,,,Tepperman's,"BBQ, Cooking & Dining",https://www.teppermans.com/flyers,"2024-07-19, 12:15 PM",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"KitchenAid® 48"" Built-In Side-by-Side Refrigerator, , $11099 . Select for details.","KitchenAid® 48"" Built-In Side-by-Side Refrigerator",,,11099,,,Tepperman's,Refrigeration,https://www.teppermans.com/flyers,"2024-07-19, 12:15 PM",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"KitchenAid® Over-the-Range Microwave with Flush Built-In Design, , $999 . Select for details.",KitchenAid® Over-the-Range Microwave with Flush Built-In Design,,,999,,,Tepperman's,"BBQ, Cooking & Dining",https://www.teppermans.com/flyers,"2024-07-19, 12:15 PM",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"KitchenAid® 30"" Single Wall Oven, , $3399 . Select for details.","KitchenAid® 30"" Single Wall Oven",,,3399,,,Tepperman's,"BBQ, Cooking & Dining",https://www.teppermans.com/flyers,"2024-07-19, 12:15 PM",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
