flyer_item,sku,offer,discount,offer_price,regular_price,instalment_mth,platform,category,url,report_time,,platform,flyer items,offer items,discount items,items by instl./mth,offer items %,discount items %,avg. discount %,avg. instl./mth %,,flyer - category,flyer items,offer items,discount items,items by instl./mth,portfolio %,offer items %,discount items %,avg. discount %,avg. instl./mth %,,flyer - category,Leon's items,Tepperman's items,The Brick items,Walmart items,,flyer - category,Leon's discount %,Tepperman's discount %,The Brick discount %,Walmart discount %
"Remi Chest - White, , $279.00 After Discount . Select for details.",Remi Chest - White,,,279,,,The Brick,,https://www.thebrick.com/pages/flyer,"2024-07-19, 12:15 PM",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Paseo Upholstered Platform Bed in Navy Fabric - Queen Size, HOT BUY, SAVE $100, $299.95 After Discount . Select for details.",Paseo Upholstered Platform Bed in Navy Fabric - Queen Size,"HOT BUY, SAVE $100",100,299.95,399.95,,The Brick,Bedroom & Mattress,https://www.thebrick.com/pages/flyer,"2024-07-19, 12:15 PM",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Abby Bedroom Narrow Chest of Drawers, 5-Drawer, 21.7""W x 53.9""H - White, , $549.95 ea. . Select for details.",Abby Bedroom Narrow Chest of Drawers,"5-Drawer, 21.7""W x 53.9""H - White, ",,549.95,,,The Brick,Bedroom & Mattress,https://www.thebrick.com/pages/flyer,"2024-07-19, 12:15 PM",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Olivia Bedside 2-Drawer Nightstand, 23.5""W x 25.2""H, Made in Canada - Grey, , $149.95 ea. After Discount . Select for details.",Olivia Bedside 2-Drawer Nightstand,"23.5""W x 25.2""H, Made in Canada - Grey, ",,149.95,,,The Brick,Bedroom & Mattress,https://www.thebrick.com/pages/flyer,"2024-07-19, 12:15 PM",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Kort & Co. Clay Upholstered Platfom Bed in Brown Vegan-Leather Fabric, Tufted - Queen Size, SAVE $100, HOT BUY, $399.95 After Discount . Select for details.",Kort & Co. Clay Upholstered Platfom Bed in Brown Vegan-Leather Fabric,"Tufted - Queen Size, SAVE $100, HOT BUY",100,399.95,499.95,,The Brick,Bedroom & Mattress,https://www.thebrick.com/pages/flyer,"2024-07-19, 12:15 PM",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Eden Upholstered Storage Bed in Charcoal Fabric, Tufted - Queen Size, SAVE $150, HOT BUY, $299.95 After Discount . Select for details.",Eden Upholstered Storage Bed in Charcoal Fabric,"Tufted - Queen Size, SAVE $150, HOT BUY",150,299.95,449.95,,The Brick,Bedroom & Mattress,https://www.thebrick.com/pages/flyer,"2024-07-19, 12:15 PM",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Gabi Upholstered Bed in Charcoal Velvet Fabric with Gold Finish Legs, Button Tufted - King Size, SAVE $100. HOT BUY, $199.95 After Discount . Select for details.",Gabi Upholstered Bed in Charcoal Velvet Fabric with Gold Finish Legs,"Button Tufted - King Size, SAVE $100. HOT BUY",100,199.95,299.95,,The Brick,Bedroom & Mattress,https://www.thebrick.com/pages/flyer,"2024-07-19, 12:15 PM",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Miko Bunk Bed with Ladder & Guard Rail for Kids, Grey - Twin/Twin, SAVE $100, $499.95 After Discount . Select for details.",Miko Bunk Bed with Ladder & Guard Rail for Kids,"Grey - Twin/Twin, SAVE $100",100,499.95,599.95,,The Brick,Bedroom & Mattress,https://www.thebrick.com/pages/flyer,"2024-07-19, 12:15 PM",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Driftwood Mates Bed with 3-Drawer Storage for Kids, Brown - Twin Size, , $299.95 After Discount . Select for details.",Driftwood Mates Bed with 3-Drawer Storage for Kids,"Brown - Twin Size, ",,299.95,,,The Brick,Bedroom & Mattress,https://www.thebrick.com/pages/flyer,"2024-07-19, 12:15 PM",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Diamond Dreams Mates Bed with 3-Drawer Storage for Kids, White - Twin Size, , $299.95 After Discount . Select for details.",Diamond Dreams Mates Bed with 3-Drawer Storage for Kids,"White - Twin Size, ",,299.95,,,The Brick,Bedroom & Mattress,https://www.thebrick.com/pages/flyer,"2024-07-19, 12:15 PM",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Bevin 34.4"" Blue Chenille Fabric Swivel Glider Reclining Chair, SAVE $200, $599.95 After Discount . Select for details.","Bevin 34.4"" Blue Chenille Fabric Swivel Glider Reclining Chair",SAVE $200,200,599.95,799.95,,The Brick,Sofa Sets,https://www.thebrick.com/pages/flyer,"2024-07-19, 12:15 PM",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Eva 29.5"" Dark Grey Faux Suede Power Reclining Chair, , $599.95 . Select for details.","Eva 29.5"" Dark Grey Faux Suede Power Reclining Chair",,,599.95,,,The Brick,Sofa Sets,https://www.thebrick.com/pages/flyer,"2024-07-19, 12:15 PM",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Zoe Baby Change Table with Storage Drawers - White, HOT BUY, $329.95 . Select for details.",Zoe Baby Change Table with Storage Drawers - White,HOT BUY,,329.95,,,The Brick,Table+Chair+Desk,https://www.thebrick.com/pages/flyer,"2024-07-19, 12:15 PM",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Willowbrook 4-in-1 Convertible Baby Crib - Grey, hot buy, $649.95 . Select for details.",Willowbrook 4-in-1 Convertible Baby Crib - Grey,hot buy,,649.95,,,The Brick,,https://www.thebrick.com/pages/flyer,"2024-07-19, 12:15 PM",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Midland 4-in-1 Convertible Baby Crib - White, HOT BUY, $599.95 . Select for details.",Midland 4-in-1 Convertible Baby Crib - White,HOT BUY,,599.95,,,The Brick,,https://www.thebrick.com/pages/flyer,"2024-07-19, 12:15 PM",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Harper 4-in-1 Convertible Baby Crib - Dove Grey, HOT BUY, $299.95 . Select for details.",Harper 4-in-1 Convertible Baby Crib - Dove Grey,HOT BUY,,299.95,,,The Brick,,https://www.thebrick.com/pages/flyer,"2024-07-19, 12:15 PM",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Safety 1st Peaceful Lullabies Baby Crib & Toddler Bed Mattress, HOT BUY, $169.95 . Select for details.",Safety 1st Peaceful Lullabies Baby Crib & Toddler Bed Mattress,HOT BUY,,169.95,,,The Brick,Bedroom & Mattress,https://www.thebrick.com/pages/flyer,"2024-07-19, 12:15 PM",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Safety 1st Little Angels Baby Crib & Toddler Bed Mattress, HOT BUY, $139.95 . Select for details.",Safety 1st Little Angels Baby Crib & Toddler Bed Mattress,HOT BUY,,139.95,,,The Brick,Bedroom & Mattress,https://www.thebrick.com/pages/flyer,"2024-07-19, 12:15 PM",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Sophia 4-Piece Full/Queen Comforter Set, , $119.95 After Discount . Select for details.",Sophia 4-Piece Full/Queen Comforter Set,,,119.95,,,The Brick,Bedroom & Mattress,https://www.thebrick.com/pages/flyer,"2024-07-19, 12:15 PM",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Gemma 7-Piece Comforter Set - Queen, , $99.95 After Discount . Select for details.",Gemma 7-Piece Comforter Set - Queen,,,99.95,,,The Brick,Bedroom & Mattress,https://www.thebrick.com/pages/flyer,"2024-07-19, 12:15 PM",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Floral Fantasy 4-Piece Queen Comforter Set, , $99.95 After Discount . Select for details.",Floral Fantasy 4-Piece Queen Comforter Set,,,99.95,,,The Brick,Bedroom & Mattress,https://www.thebrick.com/pages/flyer,"2024-07-19, 12:15 PM",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Tilda 3-Piece Full/Queen Comforter Set - Charcoal, , $149.95 After Discount . Select for details.",Tilda 3-Piece Full/Queen Comforter Set - Charcoal,,,149.95,,,The Brick,Bedroom & Mattress,https://www.thebrick.com/pages/flyer,"2024-07-19, 12:15 PM",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Hartford 3-Piece Full/Queen Comforter Set, , $99.95 After Discount . Select for details.",Hartford 3-Piece Full/Queen Comforter Set,,,99.95,,,The Brick,Bedroom & Mattress,https://www.thebrick.com/pages/flyer,"2024-07-19, 12:15 PM",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Arista 4-Piece Full/Queen Comforter Set, , $99.95 After Discount . Select for details.",Arista 4-Piece Full/Queen Comforter Set,,,99.95,,,The Brick,Bedroom & Mattress,https://www.thebrick.com/pages/flyer,"2024-07-19, 12:15 PM",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Kate Panel Bed with Headboard & Frame, Grey/Brown - Queen Size, , $375.98 After Discount . Select for details.",Kate Panel Bed with Headboard & Frame,"Grey/Brown - Queen Size, ",,375.98,,,The Brick,Bedroom & Mattress,https://www.thebrick.com/pages/flyer,"2024-07-19, 12:15 PM",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Stripes 3-Piece Full/Queen Comforter Set, , $89.95 After Discount . Select for details.",Stripes 3-Piece Full/Queen Comforter Set,,,89.95,,,The Brick,Bedroom & Mattress,https://www.thebrick.com/pages/flyer,"2024-07-19, 12:15 PM",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Indie Paisley 3-Piece Full/Queen Comforter Set, , $79.95 After Discount . Select for details.",Indie Paisley 3-Piece Full/Queen Comforter Set,,,79.95,,,The Brick,Bedroom & Mattress,https://www.thebrick.com/pages/flyer,"2024-07-19, 12:15 PM",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
